"zipcode","cab_type","part_of_week","count"
"10104","green","Weekday",1
"10104","uber","Weekday",1034
"10104","uber","Weekend",194
"10105","uber","Weekday",624
"10105","uber","Weekend",170
"10106","uber","Weekday",388
"10106","uber","Weekend",103
"10107","uber","Weekday",107
"10107","uber","Weekend",25
"10110","uber","Weekday",242
"10110","uber","Weekend",35
"10111","uber","Weekday",2347
"10111","uber","Weekend",476
"10112","uber","Weekday",213
"10112","uber","Weekend",49
"10115","green","Weekday",248
"10115","green","Weekend",31
"10115","uber","Weekday",65
"10115","uber","Weekend",11
"10118","green","Weekday",1
"10118","green","Weekend",1
"10118","uber","Weekday",850
"10118","uber","Weekend",230
"10119","uber","Weekday",869
"10119","uber","Weekend",322
"10120","uber","Weekday",176
"10120","uber","Weekend",21
"10121","green","Weekday",2
"10121","green","Weekend",4
"10121","uber","Weekday",2531
"10121","uber","Weekend",1276
"10122","uber","Weekday",79
"10122","uber","Weekend",27
"10123","green","Weekday",1
"10123","uber","Weekday",108
"10123","uber","Weekend",26
"10128","green","Weekday",22153
"10128","green","Weekend",8351
"10128","uber","Weekday",37371
"10128","uber","Weekend",13176
"10151","uber","Weekday",216
"10151","uber","Weekend",61
"10152","uber","Weekday",1326
"10152","uber","Weekend",168
"10153","green","Weekday",3
"10153","uber","Weekday",1220
"10153","uber","Weekend",278
"10154","uber","Weekday",1503
"10154","uber","Weekend",180
"10155","uber","Weekday",145
"10155","uber","Weekend",49
"10158","uber","Weekday",116
"10158","uber","Weekend",47
"10162","uber","Weekday",41
"10162","uber","Weekend",19
"10165","uber","Weekday",362
"10165","uber","Weekend",75
"10166","green","Weekday",1
"10166","uber","Weekday",739
"10166","uber","Weekend",146
"10167","uber","Weekday",1299
"10167","uber","Weekend",116
"10168","uber","Weekday",233
"10168","uber","Weekend",68
"10169","uber","Weekday",554
"10169","uber","Weekend",89
"10170","uber","Weekday",423
"10170","uber","Weekend",84
"10171","uber","Weekday",398
"10171","uber","Weekend",47
"10172","green","Weekday",2
"10172","uber","Weekday",1359
"10172","uber","Weekend",261
"10173","uber","Weekday",216
"10173","uber","Weekend",32
"10174","green","Weekday",1
"10174","green","Weekend",1
"10174","uber","Weekday",639
"10174","uber","Weekend",141
"10175","uber","Weekday",131
"10175","uber","Weekend",9
"10176","uber","Weekday",271
"10176","uber","Weekend",43
"10177","uber","Weekday",541
"10177","uber","Weekend",42
"10178","green","Weekday",1
"10178","uber","Weekday",345
"10178","uber","Weekend",51
"10196","uber","Weekday",973
"10196","uber","Weekend",162
"10203","uber","Weekday",183
"10203","uber","Weekend",67
"10259","uber","Weekday",212
"10259","uber","Weekend",47
"10260","uber","Weekday",796
"10260","uber","Weekend",316
"10265","uber","Weekday",358
"10265","uber","Weekend",190
"10270","uber","Weekday",86
"10270","uber","Weekend",40
"10271","uber","Weekday",245
"10271","uber","Weekend",84
"10275","uber","Weekday",108
"10275","uber","Weekend",15
"10278","uber","Weekday",942
"10278","uber","Weekend",594
"10279","uber","Weekday",106
"10279","uber","Weekend",39
"10280","green","Weekday",8
"10280","green","Weekend",3
"10280","uber","Weekday",9424
"10280","uber","Weekend",5333
"10281","green","Weekend",1
"10281","uber","Weekday",5120
"10281","uber","Weekend",1147
"10282","green","Weekday",2
"10282","green","Weekend",1
"10282","uber","Weekday",15365
"10282","uber","Weekend",6393
"10285","uber","Weekday",688
"10285","uber","Weekend",63
"10286","uber","Weekday",290
"10286","uber","Weekend",168
"10301","green","Weekday",340
"10301","green","Weekend",92
"10301","uber","Weekday",134
"10301","uber","Weekend",81
"10302","green","Weekday",45
"10302","green","Weekend",24
"10302","uber","Weekday",5
"10302","uber","Weekend",7
"10303","green","Weekday",204
"10303","green","Weekend",90
"10303","uber","Weekday",26
"10303","uber","Weekend",4
"10304","green","Weekday",24
"10304","green","Weekend",20
"10304","uber","Weekday",86
"10304","uber","Weekend",79
"10305","green","Weekday",25
"10305","green","Weekend",24
"10305","uber","Weekday",193
"10305","uber","Weekend",87
"10306","green","Weekday",8
"10306","green","Weekend",2
"10306","uber","Weekday",23
"10306","uber","Weekend",12
"10307","green","Weekday",1
"10308","green","Weekday",1
"10308","green","Weekend",3
"10308","uber","Weekday",7
"10308","uber","Weekend",2
"10309","green","Weekday",7
"10309","uber","Weekday",3
"10309","uber","Weekend",3
"10310","green","Weekday",27
"10310","green","Weekend",12
"10310","uber","Weekday",23
"10310","uber","Weekend",23
"10312","green","Weekday",3
"10312","green","Weekend",7
"10312","uber","Weekday",8
"10312","uber","Weekend",7
"10314","green","Weekday",100
"10314","green","Weekend",47
"10314","uber","Weekday",140
"10314","uber","Weekend",81
"10451","green","Weekday",61698
"10451","green","Weekend",35065
"10451","uber","Weekday",2273
"10451","uber","Weekend",1247
"10452","green","Weekday",41787
"10452","green","Weekend",25151
"10452","uber","Weekday",2572
"10452","uber","Weekend",1407
"10453","green","Weekday",24382
"10453","green","Weekend",13249
"10453","uber","Weekday",342
"10453","uber","Weekend",227
"10454","green","Weekday",13748
"10454","green","Weekend",8984
"10454","uber","Weekday",730
"10454","uber","Weekend",379
"10455","green","Weekday",20430
"10455","green","Weekend",11805
"10455","uber","Weekday",339
"10455","uber","Weekend",207
"10456","green","Weekday",24833
"10456","green","Weekend",13769
"10456","uber","Weekday",538
"10456","uber","Weekend",314
"10457","green","Weekday",23670
"10457","green","Weekend",12071
"10457","uber","Weekday",533
"10457","uber","Weekend",240
"10458","green","Weekday",30474
"10458","green","Weekend",16845
"10458","uber","Weekday",1386
"10458","uber","Weekend",1313
"10459","green","Weekday",13087
"10459","green","Weekend",7635
"10459","uber","Weekday",275
"10459","uber","Weekend",174
"10460","green","Weekday",15773
"10460","green","Weekend",9046
"10460","uber","Weekday",437
"10460","uber","Weekend",430
"10461","green","Weekday",21331
"10461","green","Weekend",8546
"10461","uber","Weekday",1161
"10461","uber","Weekend",575
"10462","green","Weekday",25931
"10462","green","Weekend",14583
"10462","uber","Weekday",754
"10462","uber","Weekend",527
"10463","green","Weekday",22499
"10463","green","Weekend",13124
"10463","uber","Weekday",2317
"10463","uber","Weekend",1348
"10464","green","Weekday",244
"10464","green","Weekend",336
"10464","uber","Weekday",109
"10464","uber","Weekend",197
"10465","green","Weekday",1915
"10465","green","Weekend",1538
"10465","uber","Weekday",327
"10465","uber","Weekend",319
"10466","green","Weekday",1535
"10466","green","Weekend",898
"10466","uber","Weekday",290
"10466","uber","Weekend",149
"10467","green","Weekday",22057
"10467","green","Weekend",9959
"10467","uber","Weekday",962
"10467","uber","Weekend",409
"10468","green","Weekday",31303
"10468","green","Weekend",18502
"10468","uber","Weekday",574
"10468","uber","Weekend",356
"10469","green","Weekday",3099
"10469","green","Weekend",1955
"10469","uber","Weekday",412
"10469","uber","Weekend",298
"10470","green","Weekday",404
