"zipcode","cab_type","pickup_week","count"
"10005","uber","14",780
"10005","green","15",1
"10005","uber","15",977
"10005","uber","16",745
"10005","uber","17",881
"10005","uber","18",1113
"10005","green","19",1
"10005","uber","19",938
"10005","green","20",2
"10005","uber","20",1051
"10005","uber","21",1015
"10005","uber","22",932
"10005","uber","23",994
"10005","uber","24",1077
"10005","uber","25",1048
"10005","uber","26",1092
"10005","uber","27",898
"10005","uber","28",1225
"10005","uber","29",1396
"10005","green","30",4
"10005","uber","30",1307
"10005","green","31",1
"10005","uber","31",1448
"10005","uber","32",1383
"10005","uber","33",1241
"10005","uber","34",1260
"10005","uber","35",1243
"10005","uber","36",1403
"10005","uber","37",1506
"10005","uber","38",1697
"10005","uber","39",1465
"10005","uber","40",366
"10006","uber","14",369
"10006","green","15",1
"10006","uber","15",467
"10006","uber","16",363
"10006","uber","17",512
"10006","uber","18",522
"10006","green","19",1
"10006","uber","19",440
"10006","uber","20",445
"10006","green","21",1
"10006","uber","21",473
"10006","uber","22",393
"10006","uber","23",445
"10006","uber","24",503
"10006","uber","25",473
"10006","uber","26",497
"10006","uber","27",375
"10006","uber","28",575
"10006","uber","29",617
"10006","uber","30",573
"10006","green","31",1
"10006","uber","31",605
"10006","uber","32",632
"10006","uber","33",594
"10006","uber","34",652
"10006","uber","35",564
"10006","uber","36",674
"10006","uber","37",735
"10006","uber","38",786
"10006","uber","39",652
"10006","uber","40",170
"10007","green","14",1
"10007","uber","14",1249
"10007","green","15",1
"10007","uber","15",1273
"10007","green","16",4
"10007","uber","16",1249
"10007","green","17",3
"10007","uber","17",1462
"10007","green","18",2
"10007","uber","18",1614
"10007","green","19",2
"10007","uber","19",1508
"10007","green","20",1
"10007","uber","20",1517
"10007","green","21",2
"10007","uber","21",1404
"10007","uber","22",1381
"10007","uber","23",1561
"10007","green","24",3
"10007","uber","24",1716
"10007","green","25",2
"10007","uber","25",1639
"10007","green","26",2
"10007","uber","26",1658
"10007","green","27",2
"10007","uber","27",1318
"10007","green","28",6
"10007","uber","28",1811
"10007","green","29",1
"10007","uber","29",1981
"10007","green","30",7
"10007","uber","30",2046
"10007","green","31",1
"10007","uber","31",2087
"10007","green","32",1
"10007","uber","32",2050
"10007","green","33",2
"10007","uber","33",1817
"10007","green","34",1
"10007","uber","34",1839
"10007","green","35",1
"10007","uber","35",1692
"10007","uber","36",2122
"10007","uber","37",2418
"10007","uber","38",2494
"10007","uber","39",2469
"10007","uber","40",639
"10009","green","14",3
"10009","uber","14",2149
"10009","green","15",4
"10009","uber","15",2345
"10009","green","16",3
"10009","uber","16",2283
"10009","green","17",5
"10009","uber","17",2641
"10009","green","18",6
"10009","uber","18",2682
"10009","green","19",3
"10009","uber","19",2577
"10009","green","20",8
"10009","uber","20",2854
"10009","green","21",3
"10009","uber","21",2786
"10009","green","22",2
"10009","uber","22",2483
"10009","green","23",4
"10009","uber","23",2654
"10009","green","24",4
"10009","uber","24",2996
"10009","green","25",2
"10009","uber","25",2805
"10009","green","26",5
"10009","uber","26",2913
"10009","green","27",2
"10009","uber","27",2679
"10009","green","28",7
"10009","uber","28",3758
"10009","green","29",2
"10009","uber","29",4049
"10009","green","30",2
"10009","uber","30",4095
"10009","green","31",3
"10009","uber","31",4390
"10009","green","32",2
"10009","uber","32",4227
"10009","green","33",1
"10009","uber","33",4238
"10009","green","34",6
"10009","uber","34",4445
"10009","green","35",2
"10009","uber","35",4379
"10009","green","36",1
"10009","uber","36",5003
"10009","uber","37",5029
"10009","uber","38",4995
"10009","green","39",1
"10009","uber","39",5008
"10009","uber","40",1152
"10010","uber","14",3008
"10010","green","15",1
"10010","uber","15",3168
"10010","green","16",4
"10010","uber","16",3074
"10010","green","17",4
"10010","uber","17",3860
"10010","green","18",2
"10010","uber","18",4643
"10010","green","19",6
"10010","uber","19",4108
"10010","green","20",1
"10010","uber","20",4425
"10010","green","21",2
"10010","uber","21",4099
"10010","green","22",1
"10010","uber","22",3532
"10010","green","23",3
"10010","uber","23",3950
"10010","green","24",3
"10010","uber","24",4592
"10010","green","25",2
"10010","uber","25",3914
"10010","green","26",1
"10010","uber","26",4130
"10010","green","27",5
"10010","uber","27",3211
"10010","green","28",2
"10010","uber","28",4463
"10010","green","29",2
"10010","uber","29",5318
"10010","green","30",2
"10010","uber","30",5096
"10010","green","31",3
"10010","uber","31",5207
"10010","uber","32",4978
"10010","green","33",5
"10010","uber","33",4685
"10010","uber","34",4430
"10010","uber","35",4351
"10010","green","36",1
"10010","uber","36",5811
"10010","uber","37",6275
"10010","green","38",1
"10010","uber","38",6655
"10010","uber","39",5813
"10010","uber","40",1636
"10011","green","14",4
"10011","uber","14",6740
"10011","green","15",4
"10011","uber","15",6625
"10011","green","16",6
"10011","uber","16",6628
"10011","green","17",5
"10011","uber","17",8213
"10011","green","18",6
"10011","uber","18",9499
"10011","green","19",10
"10011","uber","19",8459
"10011","green","20",6
"10011","uber","20",8846
"10011","green","21",3
