"zipcode","cab_type","pickup_hour","count"
"10005","uber",18,2641
"10005","uber",19,2573
"10005","uber",20,2194
"10005","uber",21,1767
"10005","uber",22,1373
"10005","uber",23,977
"10006","green",1,1
"10006","green",10,1
"10006","green",19,1
"10006","green",21,1
"10006","uber",0,275
"10006","uber",1,174
"10006","uber",2,121
"10006","uber",3,128
"10006","uber",4,213
"10006","uber",5,333
"10006","uber",6,287
"10006","uber",7,352
"10006","uber",8,325
"10006","uber",9,349
"10006","uber",10,463
"10006","uber",11,502
"10006","uber",12,547
"10006","uber",13,681
"10006","uber",14,760
"10006","uber",15,966
"10006","uber",16,1051
"10006","uber",17,1137
"10006","uber",18,1195
"10006","uber",19,1279
"10006","uber",20,983
"10006","uber",21,794
"10006","uber",22,723
"10006","uber",23,468
"10007","green",0,2
"10007","green",2,1
"10007","green",4,1
"10007","green",6,1
"10007","green",7,1
"10007","green",8,4
"10007","green",9,8
"10007","green",10,3
"10007","green",11,1
"10007","green",12,2
"10007","green",13,2
"10007","green",15,1
"10007","green",17,1
"10007","green",19,7
"10007","green",20,1
"10007","green",22,4
"10007","green",23,5
"10007","uber",0,735
"10007","uber",1,470
"10007","uber",2,327
"10007","uber",3,471
"10007","uber",4,539
"10007","uber",5,784
"10007","uber",6,1269
"10007","uber",7,1394
"10007","uber",8,1536
"10007","uber",9,1543
"10007","uber",10,1771
"10007","uber",11,1983
"10007","uber",12,1941
"10007","uber",13,2165
"10007","uber",14,2773
"10007","uber",15,3350
"10007","uber",16,3789
"10007","uber",17,4199
"10007","uber",18,4279
"10007","uber",19,3415
"10007","uber",20,2515
"10007","uber",21,1772
"10007","uber",22,1680
"10007","uber",23,1314
"10009","green",0,7
"10009","green",1,8
"10009","green",2,1
"10009","green",3,2
"10009","green",4,5
"10009","green",5,3
"10009","green",6,2
"10009","green",7,1
"10009","green",8,1
"10009","green",9,2
"10009","green",11,1
"10009","green",13,2
"10009","green",14,2
"10009","green",15,2
"10009","green",16,3
"10009","green",17,1
"10009","green",18,4
"10009","green",19,6
"10009","green",20,6
"10009","green",21,9
"10009","green",22,3
"10009","green",23,10
"10009","uber",0,3583
"10009","uber",1,2255
"10009","uber",2,1518
"10009","uber",3,1326
"10009","uber",4,1314
"10009","uber",5,2427
"10009","uber",6,5205
"10009","uber",7,7561
"10009","uber",8,8274
"10009","uber",9,4444
"10009","uber",10,3200
"10009","uber",11,2877
"10009","uber",12,2796
"10009","uber",13,2937
"10009","uber",14,3067
"10009","uber",15,3379
"10009","uber",16,3635
"10009","uber",17,4182
"10009","uber",18,4608
"10009","uber",19,4647
"10009","uber",20,4573
"10009","uber",21,4575
"10009","uber",22,4855
"10009","uber",23,4377
"10010","green",0,1
"10010","green",1,2
"10010","green",2,2
"10010","green",3,2
"10010","green",4,1
"10010","green",7,2
"10010","green",8,2
"10010","green",9,5
"10010","green",10,5
"10010","green",11,1
"10010","green",12,3
"10010","green",14,2
"10010","green",15,3
"10010","green",16,2
"10010","green",17,1
"10010","green",18,1
"10010","green",19,1
"10010","green",20,5
"10010","green",21,4
"10010","green",22,3
"10010","green",23,3
"10010","uber",0,2125
"10010","uber",1,1259
"10010","uber",2,786
"10010","uber",3,782
"10010","uber",4,1013
"10010","uber",5,1608
"10010","uber",6,3383
"10010","uber",7,4674
"10010","uber",8,5210
"10010","uber",9,3745
"10010","uber",10,3832
"10010","uber",11,3988
"10010","uber",12,4181
"10010","uber",13,5206
"10010","uber",14,6161
"10010","uber",15,8170
"10010","uber",16,9955
"10010","uber",17,10732
"10010","uber",18,9764
"10010","uber",19,8288
"10010","uber",20,7108
"10010","uber",21,7018
"10010","uber",22,5630
"10010","uber",23,3814
"10011","green",0,5
"10011","green",1,4
"10011","green",2,5
"10011","green",3,2
"10011","green",5,1
"10011","green",7,2
