"zipcode","cab_type","count"
"11225","green",30469
"11225","uber",8881
"11226","green",23086
"11226","uber",7423
"11228","green",522
"11228","uber",1949
"11229","green",1748
"11229","uber",1845
"11230","green",4605
"11230","uber",3771
"11231","green",100688
"11231","uber",30911
"11232","green",13888
"11232","uber",5958
"11233","green",26480
"11233","uber",6811
"11234","green",2412
"11234","uber",2797
"11235","green",30576
"11235","uber",2276
"11236","green",2410
"11236","uber",1950
"11237","green",27950
"11237","uber",16429
"11238","green",140912
"11238","uber",35526
"11239","green",653
"11239","uber",410
"11251","green",4204
"11251","uber",2020
"11354","green",97206
"11354","uber",2881
"11355","green",7860
"11355","uber",1750
"11356","green",1052
"11356","uber",737
"11357","green",402
"11357","uber",890
"11358","green",705
"11358","uber",717
"11359","green",3
"11359","uber",10
"11360","green",363
"11360","uber",482
"11361","green",1693
"11361","uber",896
"11362","green",110
"11362","uber",289
"11363","green",34
"11363","uber",214
"11364","green",369
"11364","uber",503
"11365","green",1208
"11365","uber",1001
"11366","green",956
"11366","uber",485
"11367","green",4788
"11367","uber",1491
"11368","green",88367
"11368","uber",8375
"11369","green",22928
"11369","uber",4370
"11370","green",28036
"11370","uber",2090
"11371","green",2348
"11371","uber",93415
"11372","green",208853
"11372","uber",2531
"11373","green",302861
"11373","uber",3116
"11374","green",55484
"11374","uber",2441
"11375","green",174400
"11375","uber",6277
"11377","green",226612
"11377","uber",6257
"11378","green",6447
"11378","uber",2438
"11379","green",2229
"11379","uber",1672
"11385","green",7348
"11385","uber",5070
"11411","green",109
"11411","uber",245
"11412","green",317
"11412","uber",420
"11413","green",283
"11413","uber",596
"11414","green",367
"11414","uber",845
"11415","green",52879
"11415","uber",1299
"11416","green",824
"11416","uber",386
"11417","green",1466
"11417","uber",666
"11418","green",6287
"11418","uber",1050
"11419","green",2632
"11419","uber",673
"11420","green",6131
"11420","uber",1205
"11421","green",2362
"11421","uber",648
"11422","green",169
"11422","uber",395
"11423","green",924
"11423","uber",343
"11426","green",260
"11426","uber",322
"11427","green",415
"11427","uber",313
"11428","green",340
"11428","uber",187
"11429","green",393
"11429","uber",359
"11430","green",3060
"11430","uber",105144
"11432","green",11878
"11432","uber",2609
"11433","green",4270
"11433","uber",460
"11434","green",1142
"11434","uber",1183
"11435","green",72658
"11435","uber",2193
"11436","green",682
"11436","uber",1293
"11451","green",2
"11691","green",140
"11691","uber",243
"11692","green",100
"11692","uber",64
"11693","green",85
"11693","uber",173
"11694","green",124
"11694","uber",155
"11697","green",22
"11697","uber",78
